title,location,area,bed,bath,price
ขายบ้านเดี่ยว 2ชั้น ม. ยศศักดิ์นิเวศน์ ซ. สุขุมวิท 101/1 ขายเพราะ เจ้าของจะไปเรียนต่อ ไม่ได้ทันรีโนเวทเข้าอยู่ค่ะ,"บางจาก, พระโขนง, กรุงเทพมหานคร",59 ตร.ว.,4,3,"7,500,000"
ทาวน์โฮมหมู่บ้านวิสต้า อเวนิว เพชรเกษม บ้านหลังมุม ใกล้ห้างสรรพสินค้า,"หนองแขม, หนองแขม, กรุงเทพมหานคร",31.8 ตร.ว.,3,2,"2,900,000"
บ้านเดี่ยว เดอะ อินคอนเนเจอร์ รามอินทรา,"บางชัน, คลองสามวา, กรุงเทพมหานคร",41.3 ตร.ว.,3,3,"6,900,000"
บ้านเดี่ยว มัณฑนา อ่อนนุช-วงแหวน 4 บ้านใหม่มือหนึ่งเจ้าของยังไม่เคยอยู่อาศัย,"ดอกไม้, ประเวศ, กรุงเทพมหานคร",69.5 ตร.ว.,4,3,"10,500,000"
บ้านเดี่ยว ชัยพฤกษ์ วัชรพล สุขาภิบาล5 ออเงิน สายไหม ทำเลดี,"ออเงิน, สายไหม, กรุงเทพมหานคร",50 ตร.ว.,3,3,"4,900,000"
BH_01130 ขาย บ้านเดี่ยว หมู่บ้าน เศรษฐสิริ ทวีวัฒนา ใกล้ ม. มหิดล ศาลายา  พุทธมณฑลสาย5,"ศาลาธรรมสพน์, ทวีวัฒนา, กรุงเทพมหานคร",144 ตร.ว.,5,5,"18,000,000"
ขายด่วนบ้านเดี่ยว หมู่บ้านพระปิ่น 2 บรมราชชนนี กรุงเทพฯ ทำเลดี,"ศาลาธรรมสพน์, ทวีวัฒนา, กรุงเทพมหานคร",36.8 ตร.ว.,3,2,"4,190,000"
บ้านเดี่ยว เดอะแพลนท์ ดอนเมือง เดินทางสะดวกใกล้ห้างสรรพสินค้า,"สนามบิน, ดอนเมือง, กรุงเทพมหานคร",58.3 ตร.ว.,2,2,"7,500,000"
ขายบ้านเดี่ยว 2 ชั้น หมู่บ้านอมรทรัพย์ ซอยอยู่วิทยา หนองจอก กรุงเทพมหานคร,"กระทุ่มราย, หนองจอก, กรุงเทพมหานคร",21 ตร.ว.,3,3,"1,500,000"
บ้านเดี่ยว สวนทอง6 ดอนเมือง บ้านเงียบสงบ ร่มรื่น เดินทางสะดวก,"สีกัน, ดอนเมือง, กรุงเทพมหานคร",63 ตร.ว.,1,1,"7,500,000"
KK02-06866 -  ขายบ้านเดี่ยว   :        หมู่บ้านเคหะชุมชนมีนบุรี กรุงเทพมหานคร (064-6654666 ),"สามวาตะวันออก, คลองสามวา, กรุงเทพมหานคร",36 ตร.ว.,3,4,"507,000"
KK02-08294 - ขายบ้านเดี่ยว   :       หมู่บ้านบ้านลาดพร้าว  กรุงเทพมหานคร (064-6654666),"บางกะปิ, ห้วยขวาง, กรุงเทพมหานคร",107 ตร.ว.,3,2,"13,581,000"
ขายถูก บ้านเดี่ยว บ้านบุรีรมย์ รามอินทรา-คู้บอน  86 ตรว  หลังริม ถนนเมน พื้นที่มาก ใกล้สวน คุ้มค่า ราคาโดนใจ  ทำเล คู้บอน41 เลียบคลอง2  ถูกสุดในโครงการ,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร",86 ตร.ว.,3,2,"5,390,000"
ขายบ้านแฝด หมู่บ้านเต็มสิริพลัส มีนบุรี-สุวรรณภูมิ กรุงเทพมหานคร,"คู้ฝั่งเหนือ, หนองจอก, กรุงเทพมหานคร",35.8 ตร.ว.,3,3,"2,750,000"
บ้านเดี่ยว เต็มสิริ 1 สุวินทวงศ์ คู้ฝั่งเหนือ หนองจอก พร้อมอยู่ ทำเลดีหลังมุม,"คู้ฝั่งเหนือ, หนองจอก, กรุงเทพมหานคร",51 ตร.ว.,3,3,"3,500,000"
ขายด่วน ! กฤษดานคร สุขาภิบาล 2 บ้านสวย พื้นที่ใช้สอยเยอะ เดินทางสะดวก,"ประเวศ, ประเวศ, กรุงเทพมหานคร",55.5 ตร.ว.,3,2,"5,100,000"
KK02-09447 - ขายบ้านเดี่ยว   :       หมู่บ้านสวนเนรมิต กรุงเทพมหานคร (064-6654666),"สายไหม, สายไหม, กรุงเทพมหานคร",120 ตร.ว.,5,4,"5,711,000"
ขายบ้านเดี่ยวชั้นเดียวหลังมุม 55 ตารางวา ถนนเสนานิคม1 ซอย42 แยก9,"เสนานิคม, จตุจักร, กรุงเทพมหานคร",55 ตร.ว.,3,2,"5,990,000"
ขาย บ้านเดี่ยว 2 ชั้น หมู่บ้านเคซี การ์เด้นโฮม 12 พื้นที่ 50.2 ตารางวา 4 นอน 2 น้ำ รีโนเวทใหม่ พร้อมอยู่ ซอยนิมิตใหม่ 40 คลองสามวา มีนบุรี กรุงเทพ โรงเรียนศศิภา โรงพยาบาลเสรีรักษ์,"สามวาตะวันออก, คลองสามวา, กรุงเทพมหานคร",50.3 ตร.ว.,4,2,"3,290,000"
"ขาย - บ้านเดี่ยว หลังมุม ม. มัณฑนา กัลปพฤกษ์-วงแหวน ติดถ. กาญจนาภิเษก เชื่อมต่อ ถ. เพชรเกษม, ถ. พระราม 2 , ถ. กัลปพฤกษ์ ใกล้ MRT สถานีหลักสอง","หลักสอง, บางแค, กรุงเทพมหานคร",54 ตร.ว.,3,3,"7,950,000"
บ้านเดี๋ยวสองชั้น,"Ciela จรัญฯ 13 สเตชั่น, วัดท่าพระ, บางกอกใหญ่, กรุงเทพมหานคร",50 ตร.ว.,2,1,"1,300,000"
โอกาสพิเศษสุดๆ!!!! ขาย บ้านเดี่ยว หมู่บ้าน มัณฑนา เลค วัชรพล หลังมุมเป็นส่วนตัว มีพื้นที่ตกแต่งสวนพร้อม  4 ห้องนอน 3 ห้องน้ำ บ้านสวย พร้อมเข้าอยู่ได้เลยยย,"สายไหม, สายไหม, กรุงเทพมหานคร",63.5 ตร.ว.,4,3,"8,900,000"
KK02-12628 -  ขายบ้านเดี่ยว   :        หมู่บ้านพฤกษา ทาวน์ เซเรนิตี้ 2 กรุงเทพมหานคร (064-6654666),"หนองแขม, หนองแขม, กรุงเทพมหานคร",41 ตร.ว.,3,2,"5,405,000"
ขายด่วน!!! ราคาถูกกก บ้านเดี่ยว หมู่บ้าน บดินทร นิมิตใหม่ 4 ห้องนอน 3 ห้องน้ำ  บ้านสวยต่อเติมครบ เนื้อที่ 43.2 ตร. ว. เดินทางสะดวก พร้อมเข้าอยู่,"ทรายกองดิน, คลองสามวา, กรุงเทพมหานคร",43.3 ตร.ว.,4,3,"4,300,000"
นาทีทอง ราคาพิเศษ!!!! ขาย บ้านเดี่ยว หมู่บ้าน ภัสสร เพรสทีจ จตุโชติ-วัชรพล บ้านสวยต่อเติมครบ พื้นที่กว้าง 58 ตร. ว. เดินทางสะดวก ใกล้ทางด่วน ไม่ซื้อไม่ได้แล้ววว,"สายไหม, สายไหม, กรุงเทพมหานคร",58 ตร.ว.,4,4,"5,800,000"
D6299 - ขายบ้านเดี่ยว :       โครงการสุชาวดี วัชรพล กรุงเทพมหานคร (064-6654666),"สายไหม, สายไหม, กรุงเทพมหานคร",70 ตร.ว.,4,3,"3,468,000"
D8475 - ขายบ้านเดี่ยว :      โครงการบ้านสวนเนรมิตร กรุงเทพมหานคร (064-6654666),"สายไหม, สายไหม, กรุงเทพมหานคร",168 ตร.ว.,3,3,"8,491,500"
D10579 - ขายบ้านเดี่ยว :      โครงการแก้วกานต์ วัชรพล กรุงเทพมหานคร (064-6654666),"สายไหม, สายไหม, กรุงเทพมหานคร",63 ตร.ว.,3,3,"5,100,000"
- ตึก 4 ชั้น - เนื้อที่กี่ตารางวา = 13 ตารางวา - เนื้อที่ภายในบ้านประมาณ = 208 ตรม. - หน้ากว้าง 4 เมตร ลึก 14 สูง 3.5 - อายุบ้านกี่ปี = ประมาณ 40 ปี - ราคาขายนี้  10 ล้านบาท นี้ รวมค่าใช้จ่ายอะไรบ้าง = ค่าโอนเจ้าของบ้านจ่ายให้,"มหาพฤฒาราม, บางรัก, กรุงเทพมหานคร",13 ตร.ว.,5,4,"10,000,000"
ขายบ้านเดี่ยว 2 ชั้น หมู่บ้านพฤกษชาติ ปรับปรุงตกแต่งใหม่ เหมาะกับการผักผ่อนและทำงานที่บ้านอย่างมาก,"สะพานสูง, สะพานสูง, กรุงเทพมหานคร",143 ตร.ว.,5,4,"15,500,000"
ขายบ้านเดี่ยว2ชั้น ย่านกรุงเทพกรีฑา หมู่บ้านเศรษฐสิริ กรุงเทพกรีฑา,"บางกะปิ, ห้วยขวาง, กรุงเทพมหานคร",92 ตร.ว.,3,3,"24,500,000"
"PBS347 ขาย บ้านเดี่ยว ซอย นักกีฬาแหลมทอง 28, บ้านเดี่ยว กรุงเทพกรีฑา บ้านเดี่ยว นักกีฬาแหลมทอง, บ้านเดี่ยว ถนน ศรีนครินทร์-ร่มเกล้า","สะพานสูง, สะพานสูง, กรุงเทพมหานคร",53 ตร.ว.,3,3,"6,200,000"
"PBS348 ขาย บ้านเดี่ยว หมู่บ้าน ฮาบิเทีย ออร์บิต หทัยราษฏร์ ( Habitia Orbit Hathairat ) Habitia Orbit หทัยราษฏร์, บ้านเดี่ยว ฮาบิเทีย หทัยราษฏร์","สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร",57 ตร.ว.,3,3,"7,390,000"
"PBS368 ขาย บ้านเดี่ยว หมู่บ้าน มัณฑนา รามอินทรา-วงแหวน เฟส 3, Manthana Ramintra-Wongwean, บ้านเดี่ยวรามอินทรา","คันนายาว, คันนายาว, กรุงเทพมหานคร",118 ตร.ว.,3,2,"18,890,000"
ขายบ้านเดี่ยว 2 ชั้น หมู่บ้าน ธารารมณ์ พาร์คเวย์โฮม รามคำแหง 150 ซอยราษฎร์พัฒนา22,"สะพานสูง, สะพานสูง, กรุงเทพมหานคร",61.5 ตร.ว.,3,3,"4,500,000"
"PBS360 ขาย บ้านเดี่ยว หมู่บ้าน นันทวัน ปิ่นเกล้า-สาทร, บ้านเดี่ยว นันทวัน ราชพฤกษ์ บ้านเดี่ยว นันทวัน ราชพฤกษ์ 24 #บ้านเดี่ยว ตลิ่งชัน #บ้านเดี่ยว สวนผัก","ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",79.8 ตร.ว.,5,3,"12,500,000"
บ้านเดี่ยวพร้อมที่ดิน 57 ตร. ว. 2 ชั้น ใกล้ใบหยก,"พญาไท, พญาไท, กรุงเทพมหานคร",57 ตร.ว.,3,3,"39,000,000"
ขาย บ้านเดี่ยว 2 ชั้น 3 ห้องนอน 3 ห้องน้ำ หมู่บ้าน ธัญรดา วัชรพล บ้านสวย ตกแต่งครบ พร้อมเข้าอยู่,"สายไหม, สายไหม, กรุงเทพมหานคร",50 ตร.ว.,3,3,"4,800,000"
ขายถูก บ้านเดี่ยว บ้านบุรีรมย์ รามอินทรา-คู้บอน  86 ตรว  หลังริม ถนนเมน พื้นที่มาก ใกล้สวน คุ้มค่า ราคาโดนใจ  ทำเล คู้บอน41 เลียบคลอง2  ถูกสุดในโครงการ,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร",86 ตร.ว.,3,2,"5,390,000"
ขายหรือให้เช่าบ้านเดี่ยว 2 ชั้น พหลโยธิน 35 แยก 5,"จตุจักร, จตุจักร, กรุงเทพมหานคร",64 ตร.ว.,2,1,"37,500"
D7730 - ขายบ้านเดี่ยว :      โครงการวราภิรมย์ วัชรพล-รามอินทรา กรุงเทพมหานคร (064-6654666),"สายไหม, สายไหม, กรุงเทพมหานคร",103 ตร.ว.,4,2,"6,468,500"
D6808 - ขายบ้านเดี่ยว :       โครงการปาริชาติ สุวินทวงศ์ กรุงเทพมหานคร (064-6654666),"ลาดกระบัง, ลาดกระบัง, กรุงเทพมหานคร",55 ตร.ว.,3,2,"3,119,500"
KK02-11500 - ขายบ้านเดี่ยว   :       หมู่บ้านกฤษดานคร 20 กรุงเทพมหานคร (064-6654666 ),"ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",150 ตร.ว.,4,4,"7,530,000"
"ให้เช่า 15,000/ต่อเดือน  บ้านเดี่ยว หมู่บ้านทิวสน 3 ซอยลาดพร้าว 87 แยก 14","วังทองหลาง, วังทองหลาง, กรุงเทพมหานคร",50 ตร.ว.,2,2,"15,000"
ขายบ้านเดี่ยวพฤกษาเซเรนิตี้2 เพชรเกษม81,"หนองแขม, หนองแขม, กรุงเทพมหานคร",43 ตร.ว.,3,2,"5,500,000"
ที่ดินแปลงมุม91ตร. วา ใกล้MRTสุทธิสาร,"ดินแดง, ดินแดง, กรุงเทพมหานคร",91 ตร.ว.,3,2,"15,000,000"
หิ้วกระเป๋ามาอยู่เลยค่ะ… แอร์5ตัว มีห้องหมา มีบ่อปลา 3ห้องนอน 3ห้องน้ำ พื้นที่35. ตรว ครัวพึ่งทำใหม่ค่ะ ความสะดวกสบาย ใกล้แฟชั่น ใกล้โรงบาทสินแพทย์ ใหล้สนามกอล์ฟปัญญา ใกล้โตตัส ใกล้เซเว่นหน้าปากซอย บิ้วไปอินทีเดียขาดทุนหลายล้านอยู่,"รามอินทรา, คันนายาว, กรุงเทพมหานคร",36 ตร.ว.,4,5,"4,999,999"
บ้านเดี่ยว 95 ตารางวา 4 ห้องนอน 5ห้องน้ำ 2ห้องโถง มีพื้นที่เหลือปลูกต้นไม้ได้รอบบ้านพื้นที่ใช้สอย250ตารางเมตร โครงสร้างแข็งแรงมากๆ,"คลองกุ่ม, บึงกุ่ม, กรุงเทพมหานคร",95 ตร.ว.,5,3,"15,900,000"
ใกล้สถานี Bts ศรีนุช ตลาดเอี่ยมสมบัติ airport airlink ไปสุวรรณภูมิ ซีคอนแสควร่ พาราไดซ่ปารค่ railway,"อ่อนนุช, สวนหลวง, กรุงเทพมหานคร",64 ตร.ว.,4,4,"7,300,000"
บ้านเดี่ยว 2 ชั้น มีดาดฟ้า,"ทรายกองดินใต้, คลองสามวา, กรุงเทพมหานคร",97 ตร.ว.,3,1,"5,500,000"
ขายบ้านไม้เก่าพร้อมที่ดิน,"อนุสาวรีย์, บางเขน, กรุงเทพมหานคร",39 ตร.ว.,5,4,"2,800,000"
"หมู่บ้านชวนชื่น บางนา กม. 29 ตั้งราคาขาย 8 ล้าน นะครับ
ค่าโอนเจ้าของบ้านช่วยออกคนละครึ่ง ได้ครับ
สภาพปานกลาง เจ้าของจะย้ายเข้ามาอยู่กับลูกๆ แถว ถ. พัฒนาการ  ครับ
บ้านมีครัวไทย ด้านนอกแยกเป็นห้องมาด้านข้างบ้าน พื้นที่ 30% เป็นสวนต้นไม้ มะม่วง ลำใย กล้วย และ","บางนาใต้, บางนา, กรุงเทพมหานคร",88 ตร.ว.,3,2,"8,000,000"
บ้านเดี่ยว พร้อมพัฒน์ไพร์ม รามอินทรา,"รามอินทรา, คันนายาว, กรุงเทพมหานคร",64 ตร.ว.,3,2,"4,390,000"
ตึกแถว 3.5 ชั้น,"ทุ่งครุ, ทุ่งครุ, กรุงเทพมหานคร",20 ตร.ว.,3,2,"3,500,000"
ขายบ้านแฝด หมู่บ้านเต็มสิริพลัส มีนบุรี-สุวรรณภูมิ กรุงเทพมหานคร,"คู้ฝั่งเหนือ, หนองจอก, กรุงเทพมหานคร",35.8 ตร.ว.,3,3,"2,750,000"
บ้านเดี่ยว เต็มสิริ 1 สุวินทวงศ์ คู้ฝั่งเหนือ หนองจอก พร้อมอยู่ ทำเลดีหลังมุม,"คู้ฝั่งเหนือ, หนองจอก, กรุงเทพมหานคร",51 ตร.ว.,3,3,"3,500,000"
ขายด่วน ! กฤษดานคร สุขาภิบาล 2 บ้านสวย พื้นที่ใช้สอยเยอะ เดินทางสะดวก,"ประเวศ, ประเวศ, กรุงเทพมหานคร",55.5 ตร.ว.,3,2,"5,100,000"
บ้าน  3 นอน ห้องกว้าง,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร",49.5 ตร.ว.,5,4,"8,350,000"
บ้านเดี่ยว การเคหะคลองจั่น นวมินทร์ คลองจั่น บางกะปิ ทำเลดี,"คลองจั่น, บางกะปิ, กรุงเทพมหานคร",50 ตร.ว.,3,4,"5,300,000"
ที่ดินแปลงมุม91ตร. วา ใกล้MRTสุทธิสาร,"ดินแดง, ดินแดง, กรุงเทพมหานคร",91 ตร.ว.,3,2,"15,000,000"
หิ้วกระเป๋ามาอยู่เลยค่ะ… แอร์5ตัว มีห้องหมา มีบ่อปลา 3ห้องนอน 3ห้องน้ำ พื้นที่35. ตรว ครัวพึ่งทำใหม่ค่ะ ความสะดวกสบาย ใกล้แฟชั่น ใกล้โรงบาทสินแพทย์ ใหล้สนามกอล์ฟปัญญา ใกล้โตตัส ใกล้เซเว่นหน้าปากซอย บิ้วไปอินทีเดียขาดทุนหลายล้านอยู่,"รามอินทรา, คันนายาว, กรุงเทพมหานคร",36 ตร.ว.,2,1,"4,999,999"
บ้านหน้ากว้าง6เมตร,"เคหะ แจ้งวัฒนะ, ทุ่งสองห้อง, หลักสี่, กรุงเทพมหานคร",24 ตร.ว.,4,5,"1,750,000"
บ้านเดี่ยว 95 ตารางวา 4 ห้องนอน 5ห้องน้ำ 2ห้องโถง มีพื้นที่เหลือปลูกต้นไม้ได้รอบบ้านพื้นที่ใช้สอย250ตารางเมตร โครงสร้างแข็งแรงมากๆ,"คลองกุ่ม, บึงกุ่ม, กรุงเทพมหานคร",95 ตร.ว.,5,3,"15,900,000"
ใกล้สถานี Bts ศรีนุช ตลาดเอี่ยมสมบัติ airport airlink ไปสุวรรณภูมิ ซีคอนแสควร่ พาราไดซ่ปารค่ railway,"อ่อนนุช, สวนหลวง, กรุงเทพมหานคร",64 ตร.ว.,5,3,"7,300,000"
หมู่บ้านเอื้อสุข พัฒนาการ 58,"พัฒนาการ, สวนหลวง, กรุงเทพมหานคร",200 ตร.ว.,4,4,"21,000,000"
บ้านเดี่ยว 2 ชั้น มีดาดฟ้า,"ทรายกองดินใต้, คลองสามวา, กรุงเทพมหานคร",97 ตร.ว.,3,1,"5,500,000"
ขายบ้านไม้เก่าพร้อมที่ดิน,"อนุสาวรีย์, บางเขน, กรุงเทพมหานคร",39 ตร.ว.,5,4,"2,800,000"
"หมู่บ้านชวนชื่น บางนา กม. 29 ตั้งราคาขาย 8 ล้าน นะครับ
ค่าโอนเจ้าของบ้านช่วยออกคนละครึ่ง ได้ครับ
สภาพปานกลาง เจ้าของจะย้ายเข้ามาอยู่กับลูกๆ แถว ถ. พัฒนาการ  ครับ
บ้านมีครัวไทย ด้านนอกแยกเป็นห้องมาด้านข้างบ้าน พื้นที่ 30% เป็นสวนต้นไม้ มะม่วง ลำใย กล้วย และ","บางนาใต้, บางนา, กรุงเทพมหานคร",88 ตร.ว.,3,2,"8,000,000"
บ้านเดี่ยว พร้อมพัฒน์ไพร์ม รามอินทรา,"รามอินทรา, คันนายาว, กรุงเทพมหานคร",64 ตร.ว.,3,2,"4,390,000"
ตึกแถว 3.5 ชั้น,"ทุ่งครุ, ทุ่งครุ, กรุงเทพมหานคร",20 ตร.ว.,3,2,"3,500,000"
ขายบ้านแฝด หมู่บ้านเต็มสิริพลัส มีนบุรี-สุวรรณภูมิ กรุงเทพมหานคร,"คู้ฝั่งเหนือ, หนองจอก, กรุงเทพมหานคร",35.8 ตร.ว.,3,3,"2,750,000"
บ้านเดี่ยว เต็มสิริ 1 สุวินทวงศ์ คู้ฝั่งเหนือ หนองจอก พร้อมอยู่ ทำเลดีหลังมุม,"คู้ฝั่งเหนือ, หนองจอก, กรุงเทพมหานคร",51 ตร.ว.,3,3,"3,500,000"
ขายด่วน ! กฤษดานคร สุขาภิบาล 2 บ้านสวย พื้นที่ใช้สอยเยอะ เดินทางสะดวก,"ประเวศ, ประเวศ, กรุงเทพมหานคร",55.5 ตร.ว.,3,2,"5,100,000"
บ้าน  3 นอน ห้องกว้าง,"สามวาตะวันตก, คลองสามวา, กรุงเทพมหานคร",49.5 ตร.ว.,5,4,"8,350,000"
บ้านเดี่ยว การเคหะคลองจั่น นวมินทร์ คลองจั่น บางกะปิ ทำเลดี,"คลองจั่น, บางกะปิ, กรุงเทพมหานคร",50 ตร.ว.,3,4,"5,300,000"
หมู่บ้านเศรษฐสิริ กรุงเทพกรีฑา(ใกล้รร. นานาชาติ Brighton College Bangkok),"หัวหมาก, บางกะปิ, กรุงเทพมหานคร",92.8 ตร.ว.,3,2,"24,500,000"
บ้าน  3 นอน ห้องกว้าง,"ดินแดง, ดินแดง, กรุงเทพมหานคร",93 ตร.ว.,4,2,"29,900,000"
บ้านเดี่ยวหมู่บ้านธารารมณ์ สะพานสูง บ้านทำเลดีร่มรื่น ใกล้แหล่งสะดวกซื้อ,"สะพานสูง, สะพานสูง, กรุงเทพมหานคร",80 ตร.ว.,4,5,"7,500,000"
Narathiwas Rajanagarindra 24 | Two Storey Four Bedroom Townhouse for Sale in Chong Nonsi with Easy Access to 2 BTS Stations,"ทุ่งมหาเมฆ, สาทร, กรุงเทพมหานคร",27 ตร.ว.,3,3,"8,500,000"
บ้าน The Royal Residence 4 นอน ห้องกว้าง,"จรเข้บัว, ลาดพร้าว, กรุงเทพมหานคร",196 ตร.ว.,3,6,"84,000,000"
บ้าน  3 นอน ห้องกว้าง,"ดอกไม้, ประเวศ, กรุงเทพมหานคร",53.3 ตร.ว.,3,4,"8,190,000"
บ้าน Casa Grand Onnuch-Wongwhean 4 นอน ทันสมัย,"ประเวศ, ประเวศ, กรุงเทพมหานคร",72.5 ตร.ว.,4,5,"12,900,000"
บ้าน  3 นอน ห้องใหญ่,"คันนายาว, คันนายาว, กรุงเทพมหานคร",82.5 ตร.ว.,3,3,"18,890,000"
บ้าน  2 นอน ห้องใหญ่,"บางนาเหนือ, บางนา, กรุงเทพมหานคร",110 ตร.ว.,2,3,"15,000,000"
บ้าน  5 นอน ห้องใหญ่,"พระโขนง, คลองเตย, กรุงเทพมหานคร",87.5 ตร.ว.,5,5,"190,000,000"
บ้าน  5 นอน ห้องใหญ่,"ทุ่งสองห้อง, หลักสี่, กรุงเทพมหานคร",212.5 ตร.ว.,5,7,"60,000,000"
บ้าน  4 นอน ห้องใหญ่,"ประเวศ, ประเวศ, กรุงเทพมหานคร",70.5 ตร.ว.,4,4,"14,900,000"
บ้าน  5 นอน ห้องใหญ่,"พลับพลา, วังทองหลาง, กรุงเทพมหานคร",341.5 ตร.ว.,5,7,"245,000,000"
บ้าน  4 นอน ห้องใหญ่,"บางแคเหนือ, บางแค, กรุงเทพมหานคร",106 ตร.ว.,4,5,"8,500,000"
บ้าน  4 นอน ห้องใหญ่,"ท่าแร้ง, บางเขน, กรุงเทพมหานคร",65 ตร.ว.,4,3,"10,500,000"
บ้าน  5 นอน ห้องสวย,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",51.8 ตร.ว.,5,5,"13,500,000"
บ้าน Centro Ramindra 109 3 นอน ห้องใหญ่,"บางชัน, คลองสามวา, กรุงเทพมหานคร",61.5 ตร.ว.,3,3,"7,900,000"
บ้าน  4 นอน ห้องใหญ่,"ทุ่งครุ, ทุ่งครุ, กรุงเทพมหานคร",101 ตร.ว.,4,3,"9,500,000"
บ้าน  3 นอน ห้องใหญ่,"บางชัน, คลองสามวา, กรุงเทพมหานคร",54 ตร.ว.,3,3,"8,900,000"
บ้าน Burasiri Pattanakarn 4 นอน โมเดิร์น,"ประเวศ, ประเวศ, กรุงเทพมหานคร",93.8 ตร.ว.,4,5,"26,000,000"
บ้าน  4 นอน ห้องสวย,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",60 ตร.ว.,4,5,"22,900,000"
บ้าน  5 นอน ห้องกว้าง,"หลักสอง, บางแค, กรุงเทพมหานคร",104 ตร.ว.,5,5,"20,500,000"
บ้าน  3 นอน ห้องกว้าง,"บางนาเหนือ, บางนา, กรุงเทพมหานคร",51 ตร.ว.,3,3,"7,490,000"
บ้าน  4 นอน ห้องกว้าง,"จันทรเกษม, จตุจักร, กรุงเทพมหานคร",105 ตร.ว.,4,3,"12,800,000"
บ้าน  4 นอน ห้องใหญ่,"นวมินทร์, บึงกุ่ม, กรุงเทพมหานคร",100 ตร.ว.,4,3,"10,500,000"
บ้าน  4 นอน ตกแต่งสวย,"ลาดพร้าว, ลาดพร้าว, กรุงเทพมหานคร",60 ตร.ว.,4,2,"5,800,000"
บ้าน  3 นอน ห้องกว้าง,"จอมพล, จตุจักร, กรุงเทพมหานคร",58 ตร.ว.,3,4,"26,900,000"
บ้าน  4 นอน ห้องใหญ่,"หัวหมาก, บางกะปิ, กรุงเทพมหานคร",88 ตร.ว.,4,4,"32,500,000"
บ้าน  4 นอน ห้องกว้าง,"ออเงิน, สายไหม, กรุงเทพมหานคร",86 ตร.ว.,4,4,"7,290,000"
บ้าน  4 นอน ห้องใหญ่,"สายไหม, สายไหม, กรุงเทพมหานคร",79.5 ตร.ว.,4,4,"9,500,000"
บ้าน  4 นอน ตกแต่งสวย,"บางแคเหนือ, บางแค, กรุงเทพมหานคร",26 ตร.ว.,4,2,"9,700,000"
บ้าน  4 นอน ห้องใหญ่,"ลาดพร้าว, ลาดพร้าว, กรุงเทพมหานคร",127 ตร.ว.,4,3,"23,300,000"
ขายบ้านเดี่ยว 2 ชั้น หมู่บ้านทิพย์ศิรินทร์ ซอยแก้วเงินทอง44 ตลิ่งชัน กรุงเทพมหานคร,"ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",72.5 ตร.ว.,3,3,"5,900,000"
บ้านเดี่ยว บางจาก หลังมุม 150 ตารางวา บางจากอุดมสุข,"บางจาก, พระโขนง, กรุงเทพมหานคร",150 ตร.ว.,3,2,"16,000,000"
ขายด่วน บ้านแฝด โกลเด้นนีโอ บางแค กาญจนาภิเษก เนื้อที่ 35.7 ตร. ว.,"หลักสอง, บางแค, กรุงเทพมหานคร",35.8 ตร.ว.,4,3,"6,250,000"
บ้านเดี่ยว หมู่บ้านชายคลอง เนื้อที่ 71.6 ตร. ว 172 ตร. ม 3ห้องนอน ใกล้โรงเรียนรุ่งอรุณ,"ท่าข้าม, บางขุนเทียน, กรุงเทพมหานคร",71.5 ตร.ว.,3,3,"10,000,000"
บ้าน  4 นอน ห้องใหญ่,"คลองตัน, คลองเตย, กรุงเทพมหานคร",124 ตร.ว.,4,2,"95,000,000"
บ้าน  4 นอน ห้องสวย,"สวนหลวง, สวนหลวง, กรุงเทพมหานคร",60 ตร.ว.,4,5,"15,500,000"
บ้าน  3 นอน ห้องใหญ่,"บางแคเหนือ, บางแค, กรุงเทพมหานคร",50 ตร.ว.,3,3,"6,200,000"
บ้าน  4 นอน ห้องใหญ่,"จตุจักร, จตุจักร, กรุงเทพมหานคร",72.3 ตร.ว.,4,5,"19,500,000"
บ้าน  6 นอน ห้องใหญ่,"ลาดยาว, จตุจักร, กรุงเทพมหานคร",67 ตร.ว.,6,4,"28,500,000"
บ้าน  3 นอน ห้องใหญ่,"มีนบุรี, มีนบุรี, กรุงเทพมหานคร",67.8 ตร.ว.,3,3,"8,500,000"
บ้าน  5 นอน ห้องใหญ่,"แสมดำ, บางขุนเทียน, กรุงเทพมหานคร",100 ตร.ว.,5,5,"19,500,000"
บ้าน  3 นอน ห้องกว้าง,"คลองตันเหนือ, วัฒนา, กรุงเทพมหานคร",264 ตร.ว.,3,2,"88,000,000"
บ้าน  5 นอน ห้องใหญ่,"ทุ่งครุ, ทุ่งครุ, กรุงเทพมหานคร",75 ตร.ว.,5,4,"9,500,000"
บ้าน  3 นอน ห้องใหญ่,"คลองกุ่ม, บึงกุ่ม, กรุงเทพมหานคร",50 ตร.ว.,3,3,"18,000,000"
